GEO_ID,NAME,S2201_C04_001E,
2013,Aleutians East,12.9,
2016,Aleutians West,6,
2020,Anchorage,8.7,
2050,Bethel,39.4,
2060,Bristol Bay,5.7,
2068,Denali,5.6,
2070,Dillingham,26.4,
2090,Fairbanks North Star,6.9,
2100,Haines,7.7,
2105,Hoonah-Angoon,14,
2110,Juneau,8.2,
2122,Kenai Peninsula,9.6,
2130,Ketchikan Gateway,14.8,
2150,Kodiak Island,9.2,
2158,Kusilvak,59.9,
2164,Lake and Peninsula,24,
2170,Matanuska-Susitnaa,10.3,
2180,Nome,31.8,
2185,North Slope,17.4,
2188,Northwest Arctic,34.5,
2195,Petersburg,11.1,
2198,Prince of Wales-Hyder,17.6,
2220,Sitka,8.3,
2230,Skagway,2.8,
2240,Southeast Fairbanks,8.8,
2261,Valdez-Cordova,4.6,
2275,Wrangell,13.8,
2282,Yakutat,8.6,
2290,Yukon-Koyukuk,31.8,